LineId,type,time,Content,EventId,EventTemplate,ParameterList
1218,LOGIN,1583785202.703:153,pid=2594 uid=0 old-auid=4294967295 auid=126 tty=(none) old-ses=4294967295 ses=3 res=1,5690cd83,pid=<*> uid=<*> old-auid=<*> auid=<*> tty=(none) old-ses=<*> ses=<*> res=<*>,"['2594', '0', '4294967295', '126', '4294967295', '3', '1']"
1219,USER_START,1583785202.703:154,"pid=2594 uid=0 auid=126 ses=3 msg='op=PAM:session_open acct=""gdm"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['2594', '0', '126', '3', 'msg=\'op=PAM:session_open acct=""gdm"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1220,SERVICE_START,1583785202.751:155,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=user@126 comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=user@126 comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1221,USER_START,1583785202.751:156,"pid=2588 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:session_open acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker"" hostname=UbuntuApp addr=? terminal=/dev/tty1 res=success'",04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',"['2588', '0', '4294967295', '4294967295', 'msg=\'op=PAM:session_open acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker""', 'terminal=/dev/tty1']"
1222,SERVICE_START,1583785204.671:157,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=NetworkManager-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=NetworkManager-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1223,SERVICE_STOP,1583785204.671:158,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=NetworkManager-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=NetworkManager-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1224,SERVICE_START,1583785206.119:159,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=rtkit-daemon comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=rtkit-daemon comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1225,SERVICE_START,1583785207.907:160,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=systemd-localed comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=systemd-localed comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1226,SERVICE_START,1583785209.387:161,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=geoclue comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=geoclue comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1227,SERVICE_START,1583785209.519:162,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=bolt comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=bolt comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
