EventId,EventTemplate,Occurrences
5690cd83,pid=<*> uid=<*> old-auid=<*> auid=<*> tty=(none) old-ses=<*> ses=<*> res=<*>,16
a3d2bae4,"auid=<*> uid=<*> gid=<*> ses=<*> pid=<*> comm=""NetworkWatcherA"" exe=""/var/lib/waagent/Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux-<*>/NetworkWatcherAgent/NetworkWatcherAgent"" sig=<*> res=<*>",1
26042467,proctitle=2F7362696E2F61707061726D6F725F706172736572002D2D77726974652D6361636865002D2D7265706C616365002D2D63616368652D6C6F633D2F6574632F61707061726D6F722E642F6361636865002D2D002F6574632F61707061726D6F722E642F6C78632D636F6E7461696E657273002F6574632F61707061726D6F722E,72
6d9017d0,proctitle=2F7362696E2F61707061726D6F725F706172736572002D2D77726974652D6361636865002D2D7265706C616365002D2D63616368652D6C6F633D2F7661722F63616368652F61707061726D6F72002D4F006E6F2D657870722D73696D706C696679002D2D002F7661722F6C69622F736E6170642F61707061726D6F722F70726F,35
6cfd83c2,"name=""iptable_security""",5
eeb56e84,proctitle=2F7362696E2F6D6F6470726F6265002D71002D2D0069707461626C655F<*>,5
d46a2bc1,proctitle=69707461626C6573002D77002D74007365637572697479002D41004F5554505554002D64003136382E36332E3132392E3136002D7000746370002D6D006F776E6572002D2D7569642D6F776E65720030002D6A<*>,5
c55634be,proctitle=69707461626C6573002D77002D74007365637572697479002D41004F5554505554002D64003136382E36332E3132392E3136002D7000746370002D6D00636F6E6E747261636B002D2D6374737461746500494E56414C49442C4E4557002D6A0044524F<*>,5
21e15ecb,table=filter family=<*> entries=<*>,10
e4a6a9dd,"name=""iptable_filter""",5
1dd2dc1b,proctitle=2F7362696E2F6D6F6470726F6265002D71002D2D0069707461626C655F66696C<*>,5
fd3767e5,"name=""ip6table_filter""",5
ed8847de,proctitle=2F7362696E2F6D6F6470726F6265002D71002D2D006970367461626C655F66696C<*>,5
bf55a36d,proctitle=6E616E6F007661722F7777772F6578616D706C652E636F6D2F77702D636F6E74656E742F7468656D65732F7477656E74797477656E74792F666F6F7465722E<*>,6
049e98e4,proctitle=6E616E6F007661722F7777772F6578616D706C652E636F6D2F77702D636F6E74656E742F7468656D65732F7477656E74797477656E74792F696E6465782E<*>,6
2e86292b,audit_pid=<*> old=<*> auid=<*> ses=<*> res=<*>,1
d1dca6f9,"cwd=""/home/sepses""",264
8d7ba978,proctitle=2F7573722F62696E2F6E617574696C7573002D2D676170706C69636174696F6E2D<*>,8
a3042561,"proctitle=""filezilla""",6
b6999989,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""sepses"" exe=""/usr/sbin/vsftpd"" hostname=::ffff:<*> addr=::ffff:<*> terminal=ftp res=success'",6
55f18245,proctitle=2F7573722F7362696E2F767366747064002F6574632F7673667470642E636F6E<*>,69
943f8d77,"cwd=""/files""",43
3727c993,"cwd=""/files/again""",3
648e6cc4,"cwd=""/files/testfolder""",2
5604576d,"op=start ver=<*>.<*>.<*> format=enriched kernel=<*>.<*>.<*>-<*>-azure auid=<*> pid=<*> uid=<*> ses=<*> subj=unconfined res=successAUID=""unset"" UID=""root""",5
aea20b48,"pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> <*> addr=? <*> res=success'UID=""root"" <*>",1168
2114d90e,arch=c000003e syscall=<*> success=yes exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> tty=(none) ses=<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,60
30e661ce,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> <*> <*>,337
531818f0,"pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*> AUID=""sepses""",50
8f45cbf9,"pid=<*> uid=<*> old-auid=<*> auid=<*> tty=(none) old-ses=<*> ses=<*> res=<*>UID=""root"" OLD-AUID=""unset"" <*>",38
62ca2556,"pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> <*> addr=? <*> <*> AUID=""sepses""",41
72bef4b2,"pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> exe=""/usr/sbin/vsftpd"" hostname=::ffff:<*> addr=::ffff:<*> terminal=ftp <*> AUID=""unset""",124
